Threads,Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1,388.558298,388.300403
Index,Sum
1429,-35209.601562
1430,-36469.304688
1431,-36040.152344
1432,-40306.406250
1433,-36108.859375
1434,-41999.871094
1435,-33217.753906
1436,-31083.382812
1437,-32700.476562
1438,-25664.271484
1439,-22353.216797
1440,-30583.333984
1441,-25176.466797
1442,-24155.212891
1443,-20099.339844
1444,-20103.484375
1445,-17350.132812
1446,-12308.107422
1447,-14934.000977
1448,-11492.410156
1449,-6751.873535
1450,4722.577637
1451,-4178.885742
1452,-10310.812500
1453,3000.178223
1454,-12951.472656
1455,-1106.880493
1456,2479.231445
1457,2561.436768
1458,6183.046387
1459,-460.735901
1460,9122.193359
1461,23233.195312
1462,12105.553711
1463,16052.708984
1464,7595.452148
1465,12859.086914
1466,14730.013672
1467,14798.922852
1468,15978.214844
1469,39011.339844
1470,23234.388672
1471,15008.334961
1472,25274.353516
1473,25648.554688
1474,25610.199219
1475,33624.390625
1476,25408.687500
1477,28646.511719
1478,33902.148438
1479,37837.167969
1480,41971.042969
1481,44271.945312
1482,38055.796875
1483,38643.070312
1484,41454.292969
1485,35818.160156
1486,39442.062500
1487,42454.246094
1488,45567.878906
1489,39628.234375
1490,51799.179688
1491,39479.578125
1492,53745.210938
1493,52987.355469
1494,57119.105469
1495,46547.652344
1496,47767.917969
1497,58841.855469
1498,52794.808594
1499,59465.253906
1500,68242.750000
1501,58360.472656
1502,48739.914062
1503,60541.636719
1504,57990.082031
1505,52547.773438
1506,51588.742188
1507,60230.093750
1508,64555.113281
1509,66442.953125
1510,60797.519531
1511,58736.734375
1512,48345.078125
1513,56594.117188
1514,53517.500000
1515,56362.906250
1516,59645.992188
1517,50031.445312
1518,60045.546875
1519,61852.582031
1520,52648.496094
1521,55034.148438
1522,41610.562500
1523,60348.324219
1524,53954.039062
1525,43510.878906
1526,50946.187500
1527,48319.250000
1528,44281.703125
1529,54043.652344
1530,50620.070312
1531,61238.039062
1532,40031.550781
1533,46937.812500
1534,55602.320312
1535,38406.984375
1536,34729.820312
1537,30909.607422
1538,34108.773438
1539,36986.242188
1540,35014.824219
1541,44842.246094
1542,32197.410156
1543,25606.851562
1544,27768.970703
1545,26263.949219
1546,34425.406250
1547,34889.089844
1548,31345.806641
1549,29226.353516
1550,26489.724609
1551,19977.744141
