Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1803.031855,1801.559212
Index,Sum
1639,35.602398
1640,-24.744598
1641,-7.434000
1642,-9.995999
1643,27.346199
1644,7.621700
1645,-18.069201
1646,93.342400
1647,-58.184795
1648,-60.505398
1649,77.930099
1650,-16.621201
1651,5.905200
1652,-8.728299
1653,-0.168500
1654,0.325000
1655,19.500000
1656,6.060000
1657,15.715600
1658,62.784599
1659,-87.962990
1660,-2.943000
1661,-0.313200
1662,-0.800400
1663,-6.189300
1664,42.428101
1665,-26.913700
1666,-3.812300
1667,1.433800
1668,-14.466401
1669,-45.292000
1670,46.832996
1671,32.084099
1672,-6.747300
1673,-8.320200
1674,-38.487999
1675,6.868000
1676,-1.373600
1677,-8.228001
1678,19.723001
1679,16.528200
1680,-0.659100
1681,0.133900
1682,6.880400
1683,69.806000
1684,68.865501
1685,-50.743000
1686,49.433998
1687,-42.564602
1688,-18.365101
1689,-18.448200
1690,65.800797
1691,53.549603
1692,55.500801
1693,-81.919998
1694,-87.599998
1695,6.022500
1696,-1.006500
1697,-16.415100
1698,61.534203
1699,78.684204
1700,70.425797
1701,-43.962399
1702,39.093601
1703,-57.712200
1704,60.460396
1705,19.276398
1706,2.864500
1707,-5.550500
1708,36.372101
1709,39.157101
1710,-42.320602
1711,14.267399
1712,25.643398
1713,31.594400
1714,-6.073600
1715,15.516800
1716,35.136600
1717,11.162700
1718,-16.092299
1719,-53.776802
1720,-50.212803
1721,45.457802
1722,-66.394203
1723,-42.503403
1724,12.301201
1725,20.957602
1726,13.450400
1727,8.823601
1728,4.052700
1729,-7.244300
1730,-21.274399
1731,-1.832800
1732,1.477300
